,,,,,,,,,,,,"""=LOOKUP(RAND(), $I$51:$I$54, $G$51:$G$54)""",,,,,,,,,,,Distance Between (km),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tesla Superchargers,,,,Distribution Center,,,,,Supercenters,,,,,,ALL,,,,,,,,Destination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Longitude,Latitude,,Number,Longitude,Latitude,,,Number,Longitude,Latitude,Demand (kg),Name,,Cat,Number,Longitude,Latitude,Demand (kg),,,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,44.2621513,-76.9631417,,0,43.632359,-79.71978,,,0,44.2619693,-76.9693694,36000,Walmart Supercentre,,Super,0,44.2619693,-76.9693694,,,Origin,0,0,37.863,59.851,108.281,145.345,153.129,151.692,166.575,164.776,180.082,357.238,176.893,348.791,206.573,192.736,332.698,202.037,336.188,197.27,350.321,347.742,201.614,198.772,331.083,212.464,313.406,208.632,201.032,207.409,221.735,235.023,218.881,241.322,224.248,412.403,276.018,257.858,223.401,228.164,248.253,219.732,229.547,231.613,223.814,235.461,238.486,236.253,269.308,241.031,241.556,570.096,249.137,293.54,242.404,245.943,248.5,254.286,302.784,257.727,253.063,287.516,264.462,298.962,260.251,248.016,267.676,274.294,263.88,289.39,292.55,270.402,349.465,291.742,285.752,336.489,430.115,299.176,295.745,294.596,356.428,322.764,301.541,354.022,298.338,312.97,308.316,317.407,315.961,322.119,320.936,382.29,347.786,404.513,601.466,351.339,367.901,397.245,588.652,409.533,394.679,399.595,394.095,401.672,779.162,441.067,435.093,428.191,504.284,493.439,899.272,514.557,505.934,890.895,900.92,241.371,0.902,38.65,76.072,54.381,109.128,115.53,153.085,181.226,345.088,343.47,188.231,301.438,208.366,313.199,213.257,208.86,205.904,214.388,221.725,225.154,274.01,415.943,238.442,235.705,235.227,238.305,301.195,301.71,294.203,255.206,258.852,246.043,302.771,357.262,247.562,277,298.953,429.769,295.922,356.791,318.871,367.256,298.319,313.058,315.741,347.705,358.086,363.155,404.431,588.52,393.761,400.868,433.819,428.024,501.47,531.859,890.707,899.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,44.187864,-77.398877,,,,,,,1,44.1959334,-77.3959302,18000,Walmart Supercentre,,,1,44.1959334,-77.3959302,,,,1,38.639,0,23.262,71.692,108.756,116.539,115.102,129.985,128.187,143.493,320.649,140.304,312.202,169.984,156.147,296.109,165.447,299.598,160.68,313.732,266.419,165.024,162.182,294.494,175.874,276.816,172.042,164.443,170.819,185.146,198.433,182.292,204.733,187.658,432.43,239.428,221.268,186.812,191.574,211.664,183.142,192.958,195.023,187.224,198.872,201.896,199.663,232.719,204.442,204.966,590.123,212.548,256.95,205.815,209.353,211.91,217.696,266.194,221.138,216.474,250.926,227.872,262.372,223.662,211.427,231.086,237.704,227.291,252.801,255.96,233.812,312.876,255.152,249.163,299.9,393.526,262.587,259.156,258.007,319.838,286.175,264.952,317.433,261.748,276.38,271.727,280.817,279.372,285.529,284.347,345.701,311.196,367.923,564.876,314.75,331.312,360.655,552.062,372.943,358.09,363.006,357.505,365.083,853.934,404.477,398.503,391.602,467.695,456.85,919.299,477.968,469.345,854.306,864.331,204.782,38.12,1.451,38.862,17.791,72.538,78.941,116.496,144.636,308.498,306.88,151.641,264.227,171.777,276.61,176.668,172.27,169.314,177.798,185.135,188.564,237.421,435.969,201.853,199.116,198.637,201.715,264.605,265.121,257.613,218.617,222.263,209.453,266.181,320.672,210.972,240.41,262.364,393.179,259.333,320.201,282.282,330.666,261.729,276.468,279.151,311.116,321.497,326.566,367.841,551.93,357.172,364.279,397.229,391.434,464.881,495.27,854.118,862.941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,44.5128136,-77.4810279,,,,,,,2,44.0942808,-77.6049189,45000,Walmart Supercentre,,,2,44.0942808,-77.6049189,,,,2,62.168,26.127,0,55.233,87.741,100.081,98.644,113.527,111.728,127.034,304.19,123.845,295.743,153.525,139.688,279.65,148.989,283.14,144.222,297.274,294.694,148.566,145.724,278.036,159.416,260.358,155.584,147.984,154.361,168.687,181.975,165.834,188.274,171.2,415.971,222.97,204.81,170.353,175.116,195.205,166.684,176.499,178.565,170.766,182.413,185.438,183.205,216.26,187.984,188.508,573.664,196.089,240.492,189.356,192.895,195.452,201.238,249.736,204.68,200.015,234.468,211.414,245.914,207.203,194.968,214.628,221.246,210.832,236.343,239.502,217.354,296.417,238.694,232.704,283.442,377.067,246.128,242.697,241.548,303.38,269.717,248.493,300.974,245.29,259.922,255.268,264.359,262.913,269.071,267.888,329.243,294.738,351.465,548.418,298.291,314.853,344.197,535.604,356.485,341.631,346.547,341.047,348.624,837.475,388.019,382.045,375.143,451.236,440.391,902.84,461.509,452.886,837.847,847.872,188.323,61.65,25.406,64.336,9.474,56.08,62.482,100.037,128.178,292.04,290.422,135.183,296.531,155.319,260.151,160.209,155.812,152.856,161.34,168.677,172.106,220.962,419.511,185.394,182.657,182.179,185.257,248.147,248.662,241.155,202.158,205.804,192.995,249.723,304.214,194.514,223.952,245.905,376.721,242.875,303.743,265.824,314.208,245.271,260.01,262.693,294.657,305.038,310.107,351.383,535.472,340.713,347.82,380.771,374.976,448.422,478.811,837.659,846.483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,44.1303372,-77.5799205,,Google API Locations (50km Radius),,,,,3,43.9748703,-78.2010868,45000,Walmart Supercentre,,,3,43.9748703,-78.2010868,,,,3,108.037,71.996,54.409,0,56.766,47.355,45.918,60.801,59.002,74.308,251.464,71.119,243.017,100.799,86.962,226.924,96.263,230.414,91.496,244.548,241.968,95.84,92.998,225.31,106.69,207.632,102.858,95.258,101.635,115.961,129.249,113.108,135.548,118.474,363.245,170.244,152.084,117.627,122.39,142.479,113.958,123.773,125.839,118.04,129.687,132.712,130.479,163.534,135.258,135.782,520.938,143.363,187.766,136.63,140.169,142.726,148.512,197.01,151.954,147.289,181.742,158.688,193.188,154.477,142.242,161.902,168.52,158.106,183.617,186.776,164.628,243.691,185.968,179.978,230.716,324.341,193.402,189.971,188.822,250.654,216.991,195.767,248.248,192.564,207.196,202.542,211.633,210.187,216.345,215.162,276.517,242.012,298.739,495.692,245.565,262.127,291.471,482.878,303.759,288.905,293.821,288.321,295.898,784.749,335.293,329.319,322.417,398.51,387.665,850.114,408.783,400.16,785.121,795.146,135.597,107.519,71.275,110.205,55.343,1.074,9.756,47.311,75.452,239.314,237.696,82.457,243.805,102.593,207.425,107.483,103.086,100.13,108.614,115.951,119.38,168.236,366.785,132.668,129.931,129.453,132.531,195.421,195.936,188.429,149.432,153.078,140.269,196.997,251.488,141.788,171.226,193.179,323.995,190.148,251.017,213.098,261.482,192.545,207.284,209.967,241.931,252.312,257.381,298.657,482.746,287.987,295.094,328.045,322.25,395.696,426.085,784.933,793.757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,43.9698915,-78.2029576,,Location,Longitude,Latitude,,,4,44.3247279,-78.3333714,27000,Walmart Supercentre,,,4,44.3247279,-78.3333714,,,,4,146.695,110.653,88.316,56.985,0,5.909,68.067,68.174,81.152,79.496,276.555,92.403,268.108,102.492,109.112,252.015,99.794,255.504,113.645,269.638,195.577,106.363,115.147,250.4,110.22,161.241,106.388,117.408,123.785,119.492,132.779,116.638,139.079,147.114,316.854,126.639,102.705,121.158,143.308,146.01,129.14,127.304,129.369,139.019,154.951,136.242,155.742,167.065,138.788,159.245,474.548,166.827,191.297,159.199,143.7,166.189,152.042,156.514,177.044,150.82,206.832,162.218,218.278,158.008,160.942,186.992,197.356,161.637,208.707,190.306,168.158,168.664,211.058,205.069,182.131,234.04,218.493,193.502,206.449,203.514,242.081,213.394,273.339,210.19,224.822,220.169,229.259,227.814,233.972,232.789,294.143,259.638,302.269,405.391,263.192,279.754,295.001,392.577,321.385,306.532,311.448,305.947,313.525,683.613,338.823,346.945,340.044,416.137,405.292,803.723,426.41,417.787,694.82,704.845,154.749,146.176,109.933,74.19,94.001,56.472,47.921,5.749,97.601,264.404,262.786,104.606,197.414,106.123,161.034,111.014,125.608,120.621,112.144,138.473,141.902,124.631,320.394,136.199,133.462,154.716,157.794,220.511,221.027,191.96,174.986,183.536,143.799,156.501,161.186,164.357,196.317,218.27,233.694,193.679,203.877,238.188,286.572,210.171,224.91,227.593,259.558,255.843,275.008,302.187,392.445,305.614,312.721,331.575,339.876,413.323,443.712,694.632,703.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,43.9716406,-78.2853771,,Tilbury,42.264745,-82.440383,,,5,44.2843418,-78.3435996,45000,Walmart Supercentre,,,5,44.2843418,-78.3435996,,,,5,153.928,117.886,100.3,47.583,6.072,0,62.502,62.608,75.586,73.93,270.989,86.837,262.542,96.926,103.546,246.449,94.228,249.939,108.08,264.072,197.859,100.797,109.582,244.834,104.655,163.523,100.823,111.842,118.219,113.926,127.214,111.072,133.513,141.548,319.137,128.921,150.049,115.592,137.743,140.444,123.575,121.738,123.804,133.453,149.385,130.677,150.177,161.499,133.222,153.68,476.83,161.261,185.731,153.633,138.134,160.624,146.477,194.975,171.478,145.254,201.267,156.653,212.713,152.442,155.376,181.427,191.791,156.071,203.141,184.741,162.593,170.946,205.493,199.503,228.68,236.322,212.927,187.936,200.883,248.619,236.515,207.828,267.773,204.625,219.257,214.603,223.694,222.248,228.406,227.223,288.578,254.073,296.704,407.673,257.626,274.188,289.436,394.859,315.82,300.966,305.882,300.382,307.959,685.895,333.258,341.38,334.478,410.571,399.726,806.005,420.844,412.221,697.102,707.127,149.184,153.409,117.166,76.211,101.234,47.071,38.52,1.319,92.036,258.839,257.221,99.041,199.696,100.557,163.316,105.448,120.042,115.056,106.579,132.907,136.336,126.913,322.676,130.633,127.896,149.151,152.229,214.946,215.461,186.394,169.421,177.971,138.234,194.962,163.468,158.791,190.751,212.704,235.976,188.113,248.982,232.622,281.007,204.606,219.345,222.028,253.992,250.277,269.442,296.622,394.727,300.048,307.155,326.01,334.311,407.757,438.146,696.914,705.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,44.2831597,-78.3330165,,Dresden,42.584318,-82.187011,,,6,43.911798,-78.7166188,18000,Walmart Supercentre,,,6,43.911798,-78.7166188,,,,6,152.295,116.253,98.666,45.95,75.732,64.371,0,14.569,18.223,30.81,227.868,30.34,219.422,53.805,46.183,203.328,51.107,206.818,50.717,220.952,194.974,57.677,52.219,201.714,61.534,160.638,57.702,54.479,60.856,70.806,84.093,67.952,90.393,77.695,316.251,123.25,106.928,72.471,94.622,97.324,80.454,78.617,80.683,77.261,88.908,87.556,89.7,118.378,90.102,110.559,473.945,118.14,142.61,110.513,95.013,117.503,103.356,151.854,128.358,102.134,158.146,113.532,169.592,109.322,112.255,138.306,148.67,112.95,160.021,141.62,119.472,198.536,162.372,156.382,185.56,279.186,169.807,144.816,157.763,205.498,193.395,164.708,224.653,161.504,176.136,171.483,180.573,179.128,185.285,184.103,245.457,210.952,253.583,450.536,214.505,231.068,246.315,437.722,272.699,257.846,262.762,257.261,264.839,739.593,290.137,298.259,291.358,367.451,356.606,803.12,377.724,369.101,739.966,749.991,106.063,151.776,115.532,139.119,99.601,46.796,38.807,64.327,34.673,215.718,214.1,41.678,196.811,57.437,160.431,62.327,62.307,59.351,63.458,75.172,78.601,121.242,319.791,87.513,84.776,88.674,91.752,171.825,172.341,143.273,126.3,112.299,95.113,151.841,206.332,115.67,147.63,169.584,278.839,144.993,205.861,189.502,237.886,161.485,176.224,178.907,210.872,207.157,226.322,253.501,437.59,256.928,264.035,282.889,291.19,364.637,395.026,739.778,748.601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,43.846138,-79.072896,,Kertch,42.974899,-82.050368,,,7,43.9443744,-78.8490323,36000,Walmart Supercentre,,,7,43.9443744,-78.8490323,,,,7,169.064,133.023,115.436,62.719,74.348,62.987,14.858,0,11.563,17.52,214.579,30.427,206.132,40.516,39.523,190.039,37.818,193.529,44.057,207.662,181.004,44.387,45.559,188.424,48.245,146.668,44.413,47.819,54.196,57.516,70.803,54.662,77.103,85.138,302.281,109.28,93.639,59.182,81.332,84.034,67.165,65.328,67.394,77.043,92.975,74.266,93.767,105.089,76.812,97.27,459.974,104.851,129.321,97.223,81.724,104.214,90.067,138.565,115.068,88.844,144.856,100.242,156.303,96.032,98.966,125.016,135.381,99.661,146.731,128.331,106.183,185.246,149.083,143.093,172.27,265.896,156.517,131.526,144.473,192.208,180.105,151.418,211.363,148.214,162.847,158.193,167.284,165.838,171.996,170.813,232.167,197.663,240.294,437.247,201.216,217.778,233.026,424.433,259.41,244.556,249.472,243.972,251.549,726.304,276.848,284.97,278.068,354.161,343.316,789.15,364.434,355.811,726.676,736.701,92.774,168.546,132.302,137.735,116.37,63.566,55.577,62.944,28.013,202.428,200.811,35.018,182.84,44.147,146.461,49.038,63.632,58.645,50.169,76.497,79.926,107.272,305.821,74.223,71.486,92.74,95.819,158.535,159.051,129.984,113.01,121.561,81.823,138.551,193.042,102.381,134.341,156.294,265.55,131.703,192.572,176.212,224.597,148.196,162.935,165.618,197.582,193.867,213.032,240.211,424.301,243.638,250.745,269.6,277.901,351.347,381.736,726.488,735.312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
