,Vehicle-Specific Data Points,,,,Range,
,Parameter,Meaning,Units,Value,Low,High
HGEVs,Ak (HGEV),Acquisition cost for HGEVs,USD,150000,,
,Sk,Subsidy amount for HGEVs,USD,-,0,150000
,hk,Energy consumption per unit distance,kWh/km,1.75,,
,Qk,Load capacity of HGEVs,kg,37300,,
,Rk,Battery capacity for HGEVs,kWh,350,,
,Lk,Percent of initial charge when leaving depot,-,0.98,,
,mu,Grid-specific emissions factor,kg CO2/kWh,0.4,,
CFVs,Ak (CFV),Acquisition cost of CFVs,USD,0,,
,xi,Fuel-to-air mass ratio,-,1,,
,f,Engine friction factor,kJ/revolutions/L,0.2,,
,I,Engine speed,Revolutions/s,33,,
,E,Engine displacement,Liters,5,,
,m,Efficiency parameter for diesel engines,-,0.9,,
,n,Heating value for diesel fuel,kJ/g,44,,
,o,Drive-train efficiency,-,0.4,,
,rho,Air density,kg/m3,1.2041,,
,Wc,Curb weight of vehicle,kg,7500,,
,tau,Vehicle average acceleration,m/s2,0.68,,
,g,Gravitational constant,m/s2,9.81,,
,Cd,Aerodynamic drag coefficient,-,0.7,,
,Cr,Rolling resistance coefficient,-,0.01,,
,alpha,Frontal area of vehicle,m2,7.2,,
,psi,Constant for g/s to L/s,-,737,,
,Theta,Angle of the road,Degrees,4.57,,
,Omega,GHG emissions coefficient for diesel fuel,kg CO2/L,2.79,,
,,,,,,
,Other Data Points,,,,Range,
,Parameter,Meaning,Units,Value,Low,High
,r,Recharging costs,USD/kWh,0.45,,
,Beta,Unit cost of GHG emissions (carbon tax rate),USD/tonne kg CO2,-,0,400
,Upsilon,Price per carbon allowance,USD/tonne kg CO2,-,0,150
,G,Carbon cap for the firm,kg CO2,????,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
